cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100
51.39415004,71.50894241,427.8224676,96.59320445,102.4410729,500.2284964,142.7245011,25.40481608,45.29275782,57.64698978,306.1520266,129.0001835,134.3934176,100.5527752,51.63288962,537.4916026,148.0944844,12.59604459,181.5181959,56.10408309,30.94391258,72.38688129,32.26540332,43.42819006,48.1808063,16.66493297,208.0517911,104.9383587,28.84287695,315.3915621,137.891097,67.015807,220.3298322,216.6175784,204.7072852,179.2246871,156.6349053,84.61303133,66.28988598,61.53025463,44.93841609,73.11859573,25.39630392,787.5729217,301.256481,29.27961139,60.16646665,56.44939914,196.3630258,82.81679952,115.9684897,87.48376599,86.23960636,353.7541867,71.82474211,410.1285325,19.12979746,161.517541,101.8859697,111.713948,131.5832173,54.47144105,64.50821734,32.5059977,30.82138519,121.9399416,140.9224556,94.917133,226.3918773,699.3033923,55.09003429,8.942642475,246.1001396,44.29178579,45.24044029,251.0297278,67.70953371,26.55670579,107.9106403,78.34394133,90.5375051,132.3275649,62.13689707,171.4645515,72.20529912,125.434281,269.5729427,139.0983853,64.9792777,283.9526839,243.1075301,155.7725545,114.2891608,48.04287897,350.9530481,49.38962653,802.1799771,416.8017238,71.11509642,32.25196913
44.23841089,116.3826779,70.3377136,63.59007474,34.75701537,86.05376499,41.06250962,16.98037157,61.54529943,225.6525911,50.63550638,165.3334464,17.85203115,85.15201189,151.3215744,121.6506439,100.0506136,47.43185226,38.48604292,32.32597897,101.2554566,34.90134565,55.11613785,69.67961504,568.9895141,46.90152066,113.9074837,97.31575029,34.4029861,83.82169916,381.6678999,141.3874583,93.80638481,58.99797774,11.55077782,279.0349976,20.89186668,188.6601995,607.3489906,21.24468697,181.5959811,69.25549628,18.6875185,19.7930793,18.14624816,52.93652095,20.8685745,179.0950684,735.1752753,24.85277768,197.8954473,194.2298479,125.4870516,32.83921537,79.88174818,68.00659358,158.0623433,62.0264709,239.1218816,61.8937461,257.9359932,31.52632759,25.52975808,2300.863888,59.3316216,121.2952422,170.1311609,55.49091836,150.9369265,130.186043,72.57492615,96.0907477,87.00214263,756.310419,42.89108106,30.08430878,93.48382243,122.7906349,139.285179,56.91931093,31.08339849,318.3607507,63.45618147,37.88241944,71.07391779,73.90822388,273.1224665,97.97744432,191.3403511,54.63681827,111.54692,65.06027114,98.94691836,36.76832137,24.26896726,663.2907193,164.1382111,25.7575719,48.85389374,27.50918408
811.4399203,334.4251128,69.0516616,154.9641902,59.48118548,55.91055074,40.91092581,49.66908625,469.1429256,85.28272171,101.417457,114.8569487,308.7327076,53.72810145,33.36451298,480.9180745,57.90691359,43.6819088,26.1468018,24.91037237,50.70510119,166.9986648,273.1027612,182.6530321,62.57355238,95.55958096,44.49618861,43.93810058,218.0338877,32.60310148,636.0606787,82.24317488,111.557352,43.01170531,50.68405227,24.11861304,74.96899377,136.8632709,124.4998292,41.20104058,40.91014307,54.47823596,401.8426804,28.86692221,75.25997144,603.2681685,81.3715021,23.10754751,46.30410253,146.2708411,61.83052214,51.32221177,63.82103038,98.54335929,445.1933896,82.38759569,265.2836143,169.1446246,80.34742983,19.43543599,53.4572721,55.15401513,94.3635082,330.3651896,891.6547212,423.0883654,78.79496002,15.54085876,61.02112623,98.41637699,209.5606097,235.6924951,178.4501748,22.30309929,210.5331337,57.59540462,107.2114122,96.98450051,138.1260626,92.26593294,16.98830052,188.0101526,132.4263403,69.01669106,101.3058857,102.9289192,112.282663,464.4464034,72.30907363,106.4915228,289.5661803,258.3153237,282.947993,50.52822035,666.795052,96.22612312,582.2220154,23.31500895,91.92597066,314.1638204
44.02500697,42.40689775,35.21461856,31.42132243,58.13921928,125.3586931,12.01059891,111.2723092,310.0318538,690.609139,330.6882181,191.8616931,16.01089777,49.32807009,63.30431811,181.9121545,80.99024101,25.56825063,485.1391263,223.942941,114.1405145,304.328774,23.59950442,174.3073809,53.36139923,178.3495738,84.70528914,169.5182707,342.2418377,90.67576214,249.0263308,27.42804321,43.74579787,411.2567484,131.2872897,11.56261651,23.01077416,73.64225548,213.9579294,81.2976202,168.037551,234.8637075,478.6907767,95.20350261,85.45740749,15.59207295,99.41744428,50.81288388,33.98741868,75.19567898,248.3758623,12.27115653,58.71649619,101.1533097,36.84767157,125.7006067,135.8335067,87.09189632,7.645382006,1177.864281,73.31027252,172.6373725,118.3642212,250.8043705,203.9060699,72.98156163,131.3897073,34.97351878,212.0714001,56.76736843,1009.05886,17.26965827,56.60021349,205.4864023,149.9246069,49.92485433,33.22223092,104.0088202,88.73838857,15.02504932,93.1816736,108.8782533,107.203232,31.34274928,144.9129588,357.2979891,142.058139,28.9164758,58.22731242,127.2436331,47.13210335,10.40569929,217.9467616,39.27241596,50.7260573,405.0054845,41.50670873,209.7112407,25.51629126,63.14651094
83.63348522,27.97604409,47.71528253,87.45797979,176.0373113,17.2783359,63.4495918,191.7910386,52.51983144,112.9891642,147.2642468,117.6642248,172.9941328,79.62207185,59.52066043,6.403540548,82.02786294,138.4189141,153.7609065,51.66195594,533.5233886,119.8719895,102.1370826,321.2651451,43.88329741,57.37802418,989.7500931,91.02454425,461.0785511,21.35943057,74.40202788,131.4233647,121.5151013,32.92932969,91.76759821,30.64836592,183.5896906,266.3403734,9.728038701,309.7276808,26.02234269,141.8498734,174.1474995,73.70791379,47.22323522,106.1996721,139.6052365,217.7402459,11.56129656,17.52486504,376.3058867,256.3718288,139.1133334,184.0446529,225.2418959,6.290730505,273.2199358,55.42398285,113.3654681,67.01002259,215.2854784,63.53097302,151.1849264,60.90498466,30.18100614,301.8742411,188.8399841,504.8504461,96.07738232,277.2730459,648.991133,67.93272553,23.97589348,70.85591386,72.67218852,104.7608889,498.8497645,64.96548361,130.7130753,71.68746704,91.87699839,123.2306329,339.7515775,101.6279278,183.6152104,196.1461471,224.7015935,50.68375514,458.0055098,61.50037428,80.9811031,366.5189655,328.3512456,30.26549024,37.5971782,23.14829067,107.9693286,106.1486922,129.5561901,156.3594798
49.30902632,33.32478482,251.3345842,190.7686243,19.90226337,81.84707353,36.74683786,11.35035396,104.5975503,83.16181522,81.66542621,111.7375192,217.557931,110.5643279,48.59711452,43.17237176,78.90126076,122.7337023,31.82714835,74.86534734,236.8121617,80.77923248,44.7718383,68.30990866,274.4169171,156.0293236,310.0320875,103.4509779,135.6767335,51.49800596,164.9051844,54.25344311,21.7461014,102.3085212,630.0827864,200.5200696,288.6611157,128.8766471,48.98150715,73.53482804,68.49439336,56.3341104,182.029231,27.18421564,214.0835013,213.6101204,27.15001614,170.6290664,1022.725757,51.56197685,209.5378186,41.17363624,273.3386269,115.5640267,469.6160245,20.92677148,85.51588207,53.14769967,73.90164821,47.96258642,39.10132756,160.5687781,30.33855318,397.0375782,27.48920589,99.59173223,153.3908573,161.8605787,66.5699541,97.46584367,235.3948111,20.9792548,41.19266838,124.0149737,57.69774098,354.2503951,176.4881726,96.75352375,19.93032981,92.39752803,65.60055339,81.25996716,27.6172554,148.2141287,31.85019676,71.79235676,131.8184806,41.11957194,161.2557164,24.13081365,5.420701966,143.3039632,208.6253015,67.63695981,149.0268148,28.3345944,79.26933781,12.91619078,293.2955757,578.1948147
263.4891683,87.58879104,87.06627913,19.76538898,198.4198706,72.91291759,46.67725843,21.93260204,66.70217115,38.51080553,60.51973315,26.63963148,486.6715611,88.58809431,263.7350702,6.674540278,57.2142029,45.81070092,26.49812089,422.6773636,21.86130284,123.7656998,209.8590858,107.5752054,37.51513766,230.7109912,106.7605079,31.07805968,22.46482949,725.3957982,45.6725223,14.07539653,153.4322901,122.7598805,23.2467576,12.89763017,80.13377958,281.2928484,170.0553607,54.9851185,39.08785357,118.0451002,105.3568698,168.9684053,60.59437395,221.2634456,39.22006479,64.68021119,188.8238413,242.2503289,12.95517469,100.2022263,165.4681968,21.09794593,145.5654189,39.32363469,249.6982059,154.2357124,194.2318007,101.567066,213.5024769,357.9933921,643.0664197,87.49703834,9.496743113,92.90021913,110.5603149,77.06541856,158.9021527,247.3187436,53.62511758,67.08125682,134.0003228,51.92374804,98.61933951,12.65803765,29.37371652,23.86098085,38.33549783,45.00148423,131.9344413,240.3540399,43.49371613,33.22029611,31.76328748,59.46638968,70.87876851,146.0015932,65.27931112,11.26286162,82.151551,295.0623856,296.3678053,40.89618498,19.14848225,1051.592007,76.52198288,81.65873134,137.0813011,17.92077301
43.45738874,19.28943612,45.01093166,101.3773236,22.99531598,162.3870494,120.2224803,36.4442966,112.8799588,190.2009534,260.107564,72.75893536,81.97080982,82.54023447,380.4907078,277.292219,207.3486276,67.53589269,130.7440289,134.7323653,31.76378187,15.98571458,171.0284689,19.5053633,90.16881977,115.6129323,158.2011604,108.7907419,43.25644301,241.378408,512.1583051,217.2782541,12.88867603,364.8827924,85.10995883,152.1572125,167.675948,81.72123863,83.49082974,249.4247008,183.3875957,242.3207462,975.4771103,174.9352427,110.7617123,9.868687732,1328.3781,55.55220327,967.5186634,130.9274782,419.2344034,80.66378219,150.1253715,111.4925731,74.72982683,79.80659741,247.85263,73.59240688,11.73196896,74.00337877,154.4376732,166.7433354,166.7620286,16.57504878,130.1570838,236.9523841,322.6533998,71.88292321,65.2422597,398.5519413,16.98060744,58.15838258,142.232363,17.85397611,119.0600351,588.6689793,89.65234407,68.1387437,144.7360464,68.09663704,203.039466,222.3906376,90.2597533,27.75199813,24.08957737,49.7496105,199.8127145,12.7024492,13.64911714,46.81577296,133.5391707,36.10509358,218.4919206,125.6336296,75.89572675,204.1445123,132.7363942,57.63125101,113.4219499,172.0032476
128.5455537,46.61814262,211.7067802,285.1274364,118.661459,103.9702356,83.46062128,781.65686,118.6663213,76.83851188,7.33078202,18.81620064,83.28985886,110.6413672,118.7324282,204.6920758,74.13202244,303.2594757,35.81919623,26.88469806,26.3380279,189.1039803,82.85400289,198.3073147,68.87502142,49.80462732,62.28044081,14.11704843,27.94909276,21.28420724,258.3518129,49.53452537,198.2363197,410.136734,74.30848845,119.5672418,15.62594198,39.69916769,95.22236583,121.3995174,42.12333584,1319.303202,56.91789899,95.98995558,172.3956054,87.70521531,47.29632576,256.0328263,452.8429258,87.38346079,157.9482338,81.66189581,248.7517019,28.32748701,916.7733014,49.22830447,20.92931035,63.37580556,104.2413084,456.51484,223.9022733,103.7992175,22.43262732,37.86254085,76.45597368,1156.352708,14.01001493,278.9561642,53.13127526,476.2728479,28.81221301,103.9201935,29.9775587,222.186346,396.9377585,633.1586397,199.8567096,568.6506391,313.0690924,78.8955707,145.0440136,34.05598502,74.79849995,305.198904,154.6685041,142.2174653,31.87649678,49.17998686,41.90453212,133.6595466,33.43129273,157.9125486,29.47621267,560.3325564,142.6781436,44.65634434,114.5539547,63.27857478,130.470606,114.8391804
32.65133775,40.80016482,121.461056,463.6138142,266.2982733,48.20354309,205.5980197,85.74961937,121.6701448,116.7881361,1182.575261,27.51444637,99.57586929,15.18066702,162.3632198,269.5108021,382.0923148,13.12940995,136.0155881,442.9114892,59.50046555,72.80972037,86.78751525,129.6733702,175.0654451,336.2385518,81.81923884,109.5387147,1083.549903,138.5316651,108.7175364,23.51778338,90.274592,72.14470161,89.02828874,50.63192766,45.29444271,43.78215736,72.63852908,353.58809,257.0027092,62.80438413,16.67788425,38.68363226,56.95374612,99.84689914,46.4043277,669.6001149,68.56159001,26.73719133,78.15845518,32.93784888,105.2307657,113.7079835,128.4561514,17.78120038,112.2480653,122.7868691,21.73429771,234.0104189,197.1906208,897.5056011,105.2883722,94.32379846,99.14523884,96.52154338,14.17567156,16.92637306,83.30103993,50.34667702,95.08170029,10.90031433,20.11170021,29.91968309,241.3041621,30.0093798,40.46696841,97.50209049,65.18658122,104.2109467,902.403701,29.2358685,66.32257653,53.69074017,408.4605868,41.70058165,82.92305223,197.7757107,31.23094606,471.1496707,176.9314581,30.74702958,141.8227175,72.72555652,123.1285304,82.27150406,262.5695598,23.31040003,53.37717941,70.16217318
